BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained,DateApproved,Lender
COAST COUNTIES TRUCK & EQUIPMENT,1740 North 4th Street,SAN JOSE,CA,95112,453998,Sole Proprietorship,195,4/14/2020,"Readycap Lending, LLC"
COAST PRODUCE COMPANY,1791 BAY ST,LOS ANGELES,CA,90021,424310,Cooperative,20,4/15/2020,Bank of Hope
COAST SIGN INCORPORATED,1500 W. EMBASSY ST,ANAHEIM,CA,92802,339950,Corporation,176,4/16/2020,Cathay Bank
COAST TO COAST COMPUTER PRODUCTS INC.,4277 valley Fair street,SIMI VALLEY,CA,93063,443142,Subchapter S Corporation,245,4/30/2020,Bank of the West
COASTLINE RESOURCES INC,898 N PACIFIC COAST HWY,EL SEGUNDO,CA,90245,621111,Corporation,117,4/9/2020,First Bank
COBLENTZ PATCH DUFFY & BASS LLP,1 MONTGOMERY ST STE 3000,SAN FRANCISCO,CA,94104,541110,Partnership,168,4/14/2020,California Bank of Commerce
"COFFEY BUILDING GROUP, A CALIFORNIA CORPORATION",4800 Golden Foothill Parkway,EL DORADO HILLS,CA,95762,236210,Subchapter S Corporation,,4/10/2020,American River Bank
"COHEN VENTURES, INC.",449 15th Street,OAKLAND,CA,94661,541690,Corporation,140,4/6/2020,Western Alliance Bank
"COIT SERVICES, INC",897 Hinckley Rd,BURLINGAME,CA,94010,561740,Corporation,372,4/27/2020,"MUFG Union Bank, National Association"
"COKEVA, INC.",9000 FOOTHILLS BLVD,ROSEVILLE,CA,95747,518210,Corporation,0,4/7/2020,Merchants Bank of Commerce
"COLD WEATHER PRODUCTIONS, LLC",175 E OLIVE AVE 2ND FL,BURBANK,CA,91502,711510,Limited  Liability Company(LLC),175,4/15/2020,City National Bank
COLEVAN ELECTRIC INC.,3942 Valley Avenue Suite F,PLEASANTON,CA,94566,236116,Corporation,500,5/3/2020,"Zions Bank, A Division of"
COLLEGE TRACK,112 Linden St,OAKLAND,CA,94607,611710,Non-Profit Organization,262,4/27/2020,"CRF Small Business Loan Company, LLC"
"COLLINS, COLLINS, MUIR AND STEWART, LLP",1100 EL CENTRO ST,SOUTH PASADENA,CA,91030,541110,Limited Liability Partnership,126,4/29/2020,Citizens Business Bank
"COLONIAL ENERGY, LLC",2860 N. SANTIAGO BLVD,ORANGE,CA,92867,447190,Limited  Liability Company(LLC),445,4/15/2020,Bank of Hope
COLORADO FARMS LLC,400 CAMARILLO RANCH ROAD SUITE 107,CAMARILLO,CA,93012,111333,Limited  Liability Company(LLC),0,5/5/2020,"Wells Fargo Bank, National Association"
"COLOURPOP COSMETICS, LLC",1451 VANGUARD DR,OXNARD,CA,93033,325620,Limited  Liability Company(LLC),250,4/3/2020,American Business Bank
"COLUSA MEDICAL CENTER, LLC",199 E WEBSTER STREET,COLUSA,CA,95932,622110,Limited  Liability Company(LLC),277,4/28/2020,Fremont Bank
"COMAV, LLC",18499 PHANTOM WEST BLDG 17,VICTORVILLE,CA,92394,336413,Limited  Liability Company(LLC),213,4/28/2020,Cache Valley Bank
"COMET ELECTRIC, INC.",21625 PRAIRIE ST,CHATSWORTH,CA,91311,238210,Corporation,,4/11/2020,Pacific Western Bank
"COMFORT AIR, INC",1607 Turnpike Rd,STOCKTON,CA,95206,238220,Corporation,15,4/14/2020,Bank of Stockton
"COMMON INTEREST MANAGEMENT HOLDINGS, LLC",315 Diablo Rd Ste 221,DANVILLE,CA,94526,531311,Limited  Liability Company(LLC),178,4/14/2020,First Republic Bank
COMMON SENSE MEDIA,650 Townsend St,SAN FRANCISCO,CA,94103,813319,Non-Profit Organization,165,4/10/2020,"CRF Small Business Loan Company, LLC"
COMMUNICARE HEALTH CENTERS,1590 DREW AVE Suite 210,DAVIS,CA,95618,621498,Non-Profit Organization,98,4/5/2020,First Northern Bank of Dixon
"COMMUNITY ACTION COMMISSION OF SANTA BARBARA COUNTY, INC",5638 HOLLISTER AVE STE 230,GOLETA,CA,93117,813410,Non-Profit Organization,368,4/15/2020,Montecito Bank & Trust
COMMUNITY ACTION MARIN,555 NORTHGATE DR,SAN RAFAEL,CA,94903,624190,Non-Profit Organization,284,4/27/2020,Bank of Marin
COMMUNITY CATALYSTS OF CALIFORNIA,3750 Convoy St Ste 306,SAN DIEGO,CA,92111,624190,Non-Profit Organization,277,5/3/2020,"Bank of America, National Association"
COMMUNITY COLLABORATIVE VIRTUAL SCHOOL DBA EXCEL ACADEMY OR KEPPEL PARTNERSHIP,100 E SAN MARCOS BLVD STE 350,SAN MARCOS,CA,92069,,Corporation,232,5/1/2020,"JPMorgan Chase Bank, National Association"
COMMUNITY GATEPATH,"350 Twin Dolphin Dr, STE 123",REDWOOD CITY,CA,94065,813219,Non-Profit Organization,318,4/13/2020,Golden Valley Bank
COMMUNITY HEALTH ALLIANCE OF PASADENA,455 West Montana Street,PASADENA,CA,91103,621111,Corporation,165,4/14/2020,Boston Private Bank & Trust Company
"COMMUNITY HEALTH SYSTEMS, INC.",22675 ALESSANDRO BLVD,MORENO VALLEY,CA,92553,621111,Non-Profit Organization,259,5/1/2020,"JPMorgan Chase Bank, National Association"
"COMMUNITY HOSPICE, INC.",4368 Spryes Way,MODESTO,CA,95356,453310,Non-Profit Organization,157,4/14/2020,Bank of Stockton
COMMUNITY HOSPITALIST MEDICAL GROUP,7370 N PALM AVE 101,FRESNO,CA,93711,621111,Corporation,0,4/15/2020,Fresno First Bank
COMMUNITY HOUSING PARTNERSHIP,"20 Jones Street, 2nd Floor",SAN FRANCISCO,CA,94102,813319,Non-Profit Organization,211,4/15/2020,Signature Bank
COMMUNITY INITIATIVES,1000 Broadway Suite 480,OAKLAND,CA,94607,813219,Corporation,183,4/12/2020,"MUFG Union Bank, National Association"
"COMMUNITY INTEGRATED WORK PROGRAM, INC.",2219 Buchanan Rd Ste 3,ANTIOCH,CA,94509,624310,Corporation,500,5/19/2020,"Bank of America, National Association"
COMMUNITY LEARNING CENTER SCHOOLS,1900 THIRD STREET,ALAMEDA,CA,94501,611699,Non-Profit Organization,,5/3/2020,"Wells Fargo Bank, National Association"
"COMMUNITY MEDICAL PROVIDERS MEDICAL GROUP, INC.",7370 N PALM AVE,FRESNO,CA,93711,621111,Corporation,0,4/14/2020,Fresno First Bank
"COMMUNITY PSYCHIATRY MANAGEMENT, LLC",3835 N FREEWAY BLVD Suite 100,SACRAMENTO,CA,95834,551112,Limited  Liability Company(LLC),196,4/9/2020,"Zions Bank, A Division of"
"COMMUNITY SOLUTIONS FOR CHILDREN, FAMILIES, AND INDIVIDUALS",9015 Murray Avenue #100,GILROY,CA,95020,624190,Non-Profit Organization,324,4/27/2020,Pinnacle Bank
"COMMUNITY TREE SERVICE, INC.",416 Salinas Road,ROYAL OAKS,CA,95076,561730,Corporation,198,4/28/2020,Comerica Bank
"COMPASS COMPONANTS, INC.",48133 WARM SPRINGS BLVD,FREMONT,CA,94539,423610,Corporation,238,4/5/2020,City National Bank
COMPASS CONSULTING GROUP INC,205 Fieldcrest Ct,DANVILLE,CA,94506,541612,Corporation,123,4/9/2020,Axos Bank
"COMPREHENSIVE COMMUNITY HEALTH CENTERS, INC,",801 CHEVY CHASE DR,GLENDALE,CA,91205,621610,Corporation,227,4/6/2020,"Bank of Southern California, National Association"
COMPULINK BUSINESS SYSTEMS,1100 Business Center Circle,NEWBURY PARK,CA,91320,541512,Corporation,170,4/11/2020,"MUFG Union Bank, National Association"
CON-LEE RESTAURANTS INC,265 CAMBRIDGE AVE #60568,PALO ALTO,CA,94306,722513,Subchapter S Corporation,500,4/27/2020,Cass Commercial Bank
"CONANT AUTO RETAIL, SAN DIEGO, INC.",5910 Mission Gorge Road,SAN DIEGO,CA,92120,441110,Subchapter S Corporation,188,4/28/2020,Comerica Bank
"CONCEPT ARTS, INC.",4201 WILSHIRE BLVD,LOS ANGELES,CA,90010,541430,Corporation,82,4/28/2020,Pacific Western Bank
CONCEPT SERVICES INC,903 GRAND AVE,SOUTH SAN FRANCISCO,CA,94080,541990,Corporation,419,5/3/2020,"Bank of America, National Association"
CONCORD DRYWALL INC.,1717 Solano Way #28,CONCORD,CA,94520,238310,Corporation,500,5/3/2020,"Zions Bank, A Division of"
CONGREGATIONAL HOMES INC,900 E. Harrison Ave 0.0,POMONA,CA,91767,623311,Non-Profit Organization,407,4/10/2020,"JPMorgan Chase Bank, National Association"
CONGRESS MEDICAL ASSOCIATES INC,800 S RAYMOND AVE,PASADENA,CA,91105,622110,Corporation,0,5/6/2020,"Wells Fargo Bank, National Association"
CONSERVATION SOCIETY OF CALIFORNIA,9777 Golf Links Road,OAKLAND,CA,94605,712130,Non-Profit Organization,29,4/9/2020,Fremont Bank
CONSOLIDATED ANALYTICS INC,1500 S. Douglass Rd,ANAHEIM,CA,92806,531390,Corporation,283,4/27/2020,Pacific Premier Bank
"CONSTRUCTION TESTING SERVICES, A CALIFOR",2118 RHEEM DRIVE,PLEASANTON,CA,94588,238990,Corporation,197,4/28/2020,Fremont Bank
"CONSUMERTRACK,INC.","1700 E. Walnut Ave, 2nd Floor",EL SEGUNDO,CA,90245,541890,Subchapter S Corporation,111,4/28/2020,"Blue Ridge Bank, National Association"
"CONTRACT SERVICES GROUP, INC.",480 Capricorn Street,BREA,CA,92821,541990,Corporation,496,4/10/2020,Farmers & Merchants Bank of Long Beach
CONTRACTORS WARDROBE INC.,26121 AVENUE HALL,VALENCIA,CA,91355,332999,Corporation,,4/12/2020,Pacific Western Bank
"CONTROLLED CONTAMINATION SERVICES, LLC",11696 SORRENTO VALLEY RD,SAN DIEGO,CA,92121,561720,Limited  Liability Company(LLC),500,4/15/2020,Enterprise Bank & Trust
"CONTROLLED MOTION SOLUTIONS, INC",911 N POINSETTIA ST,SANTA ANA,CA,92701,423830,Subchapter S Corporation,176,4/15/2020,Bank of the West
"CONVERSICA, INC.",950 Tower Lane Suite 1200,FOREST CITY,CA,94404,511210,Corporation,214,4/29/2020,CIBC Bank USA
"CONXTECH, INC.",6701 Koll Center Parkway Suite 150,PLEASANTON,CA,94566,541511,Corporation,100,4/15/2020,Silicon Valley Bank
"COOPERATIVE OF AMERICAN PHYSICIANS, INC.","333 South Hope Street, 8th Floor",LOS ANGELES,CA,90071,524210,Corporation,,4/10/2020,Bank of Hawaii
COPPER CANE LLC,1275 INGLEWOOD AVE,SAINT HELENA,CA,94574,312130,Limited  Liability Company(LLC),101,4/30/2020,"MUFG Union Bank, National Association"
CORINTHIAN INTERNATIONAL PARKING SER,19925 STEVNS CRK BLVD,CUPERTINO,CA,95014,812930,Subchapter S Corporation,351,4/14/2020,"PNC Bank, National Association"
CORODATA CORPORATION,740 National ct,RICHMOND,CA,94804,561312,Sole Proprietorship,129,4/13/2020,"Readycap Lending, LLC"
CORONA - COLLEGE HEIGHTS ORANGE AND LEMON ASSOCIATION,8000 LINCOLN AVE,RIVERSIDE,CA,92504,424480,Cooperative,187,4/14/2020,CoBank ACB
COROVAN CORPORATION,12302 KERRAN ST,POWAY,CA,92064,484210,Corporation,193,4/11/2020,"Bank of Southern California, National Association"
CORPORATION OF THE FINE ARTS MUSEUMS,50 HAGIWARA TEA GARDEN DR,SAN FRANCISCO,CA,94118,712110,Non-Profit Organization,279,4/11/2020,East West Bank
COSA VFX INC,5543 RIVERTON AVE #4N,NORTH HOLLYWOOD,CA,91601,711510,Subchapter S Corporation,110,4/15/2020,Comerica Bank
COSWAY COMPANY INC,20633 S FORDYCE AVE,CARSON,CA,90810,325620,Subchapter S Corporation,155,4/6/2020,City National Bank
COTTI FOODS MIDWEST INC,29801 Santa Margarita Pkwy,RANCHO SANTA MARGARITA,CA,92688,722513,Subchapter S Corporation,500,4/8/2020,The Huntington National Bank
COUNSELING AND RESEARCH ASSOCIATES,108 W. VICTORIA ST,GARDENA,CA,90248,621420,Corporation,216,5/20/2020,Mega Bank
COURTHOUSE NEWS SERVICE,30 N. RAYMOND AVE Suite 310,PASADENA,CA,91103,511110,Subchapter S Corporation,256,4/6/2020,City National Bank
COVERHOUND INC,1 California Street 11th Floor,SAN FRANCISCO,CA,94111,524298,Corporation,90,4/28/2020,Silicon Valley Bank
COVI CONCRETE CONSTRUCTION INC,7621 REYNOLDS CIR,HUNTINGTON BEACH,CA,92647,238110,Corporation,425,4/12/2020,Pacific Premier Bank
"COX, CASTLE & NICHOLSON LLP",2029 Century Park E Fl 21,LOS ANGELES,CA,90067,541110,Partnership,154,4/12/2020,First Republic Bank
"CP MANUFACTURING, INC.",6795 Calle de Linea,SAN DIEGO,CA,92154,333242,Corporation,154,4/30/2020,"MUFG Union Bank, National Association"
"CP-CARRILLO, INC.",1902 MCGAW AVE,IRVINE,CA,92614,336310,Subchapter S Corporation,155,4/9/2020,American Business Bank
CRAFTSMAN LATH AND PLASTER INC.,8325 63RD ST,JURUPA VALLEY,CA,92509,238310,Subchapter S Corporation,258,4/13/2020,CommerceWest Bank
CRAWFORD COMMUNICATIONS GROUP,3190 South Bascom Ave Suite 105,SAN JOSE,CA,95124,541890,Corporation,132,4/9/2020,Western Alliance Bank
CREATIVE ALTERNATIVES INC,2855 GEER RD,TURLOCK,CA,95382,561320,Non-Profit Organization,261,5/1/2020,Oak Valley Community Bank
CREATIVE BUS SALES INC,14740 Ramona Avenue,CHINO,CA,91710,541990,Corporation,347,4/13/2020,BBVA USA
"CREATIVE CEILINGS, INC.",4060 Pike Lane,CONCORD,CA,94520,236220,Subchapter S Corporation,139,4/15/2020,Cache Valley Bank
CREATIVE CENTER OF LOS ALTOS,327 Fremont Ave,LOS ALTOS,CA,94024,611110,Non-Profit Organization,317,4/14/2020,Boston Private Bank & Trust Company
"CREATIVE CHANNEL SERVICES, LLC","6601 CENTER DR WEST 4th FLOOR, STE D",LOS ANGELES,CA,90045,541613,Limited  Liability Company(LLC),336,4/5/2020,City National Bank
CREATIVE ENERGY FOODS,9957 MEDFORD AVENUE,OAKLAND,CA,94603,424490,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
"CREDIT CARD SERVICES, INC.",21281 S. WESTERN AVE,TORRANCE,CA,90501,522320,Corporation,180,4/8/2020,City National Bank
CREEKSIDE AUTO GROUP,775 CAPITOL EXPRESSWAY AUTO MALL,SAN JOSE,CA,95136,441110,Subchapter S Corporation,205,4/15/2020,Toyota Financial Savings Bank
"CRENSHAW LUMBER CO., INC.",1860 166TH ST,GARDENA,CA,90247,423310,Subchapter S Corporation,128,4/9/2020,American Business Bank
CRESCENT VIEW SOUTH INC,177 HOLSTON DR,LANCASTER,CA,93535,813110,Non-Profit Organization,178,4/13/2020,Hanmi Bank
CRESCENT VIEW WEST PUBLIC CHARTER INC,177 HOLSTON DR,LANCASTER,CA,93535,813990,Non-Profit Organization,135,5/8/2020,Hanmi Bank
CRIMSON WINE GROUP,2700 Napa Valley Corporate DR,NAPA,CA,94558,111332,Limited  Liability Company(LLC),315,4/10/2020,"American AgCredit, ACA"
"CRISTEK INTERCONNECTS, INC.",5395 E HUNTER AVE,ANAHEIM,CA,92807,334417,Corporation,235,4/6/2020,City National Bank
"CROSSROADS TRADING CO., INC.",1409 Fifth Street,BERKELEY,CA,94710,453998,Sole Proprietorship,313,4/14/2020,"Readycap Lending, LLC"
"CROSSTOWN ELECTRICAL AND DATA, INC.",5454 Diaz St.,BALDWIN PARK,CA,91706,238210,Corporation,108,4/4/2020,American Business Bank
"CROWN FORWARDING, INC",5252 Argosy Dr,HUNTINGTON BEACH,CA,92649,488510,Corporation,151,4/30/2020,Bank of the West
"CROWN MOTORS, LLC",555 CYPRESS AVE,REDDING,CA,96001,441110,Limited  Liability Company(LLC),156,4/12/2020,Comerica Bank
"CROWN POLY, INC.",5700 Bickett Street 0.0,HUNTINGTON PARK,CA,90255,326111,Subchapter S Corporation,300,4/10/2020,"JPMorgan Chase Bank, National Association"
CROWN TECHNICAL SYSTEMS,13470 PHILADELPHIA AVE,FONTANA,CA,92337,335314,Subchapter S Corporation,125,4/11/2020,"JPMorgan Chase Bank, National Association"
CSG CONSULTANTS INC.,550 Pilgrim Drive,FOSTER CITY,CA,94404,541330,Subchapter S Corporation,0,5/1/2020,Comerica Bank
CTC GLOBAL CORPORATION,2026 McGaw Ave.,IRVINE,CA,92614,335931,Corporation,250,4/6/2020,GBC International Bank
CTS CEMENT MANUFACTURING CORPORATION,12442 Knott Street,GARDEN GROVE,CA,92841,327320,Corporation,206,4/11/2020,"Zions Bank, A Division of"
"CUSTOM HOUSE HOTEL, L.P. DBA PORTOLA HOTEL &AMP; SPA",2 PORTOLA PLZ,MONTEREY,CA,93940,721191,Partnership,250,5/1/2020,"JPMorgan Chase Bank, National Association"
"CUSTOMFAB, INC.",7345 ORANGEWOOD AVE,GARDEN GROVE,CA,92841,339113,Corporation,308,4/15/2020,First Foundation Bank
"CV SCIENCES, INC.",10070 Barnes Canyon Road 0.0,SAN DIEGO,CA,92121,325411,Corporation,20,4/15/2020,"JPMorgan Chase Bank, National Association"
CYBERPOWER INC.,730 Baldwin Park Blvd,CITY OF INDUSTRY,CA,91746,454110,Corporation,0,4/6/2020,East West Bank
"CYDCOR, LLC",29899 AGOURA RD,AGOURA HILLS,CA,91301,454390,Limited  Liability Company(LLC),209,4/9/2020,Touchmark National Bank
CYTEK BIOSCIENCES INC,46107 LANDING PKWY,FREMONT,CA,94538,334510,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
D & D GEAR INCORPORATED,4890 E LA PALMA AVE,ANAHEIM,CA,92807,332613,Corporation,262,4/15/2020,"Bank of America, National Association"
"D&J TILE COMPANY, INC",1045 Terminal Way,SAN CARLOS,CA,94070,238340,Corporation,117,4/12/2020,"MUFG Union Bank, National Association"
"D-T CARSON ENTERPRISES, INC.",42882 Ivy Street,MURRIETA,CA,92562,336211,Corporation,301,4/7/2020,MidFirst Bank
D. G. SMITH ENTERPRISES INC,425 G ST,DAVIS,CA,95616,722513,Subchapter S Corporation,500,4/7/2020,City National Bank
"D.H. SMITH COMPANY, INC.","6000 Hellyer Avenue, Ste. 150",SAN JOSE,CA,95138,238310,Subchapter S Corporation,259,4/27/2020,Fremont Bank
D/AQ CORPORATION,"801 S. FIGUEROA ST, SUITE 600",LOS ANGELES,CA,90017,531210,Corporation,178,4/7/2020,American Business Bank
"DA MCCOSKER CONSTRUCTION, INC.",3911 Laura Alice Way,CONCORD,CA,94520,237990,Corporation,,4/10/2020,Farmers & Merchants Bank of Central California
DA VINCI SCHOOLS,201 N DOUGLAS ST,EL SEGUNDO,CA,90245,611110,Non-Profit Organization,,4/28/2020,"Banc of California, National Association"
"DAE LIGHT MEDIA,LLC",3924 ROXTON AVE,LOS ANGELES,CA,90008,512110,Limited  Liability Company(LLC),160,4/11/2020,"JPMorgan Chase Bank, National Association"
DAHLIN GROUP INC,5865 Owens Drive,PLEASANTON,CA,95304,541310,Corporation,140,4/14/2020,Westamerica Bank
DANA INNOVATIONS,991 CALLE AMANECER,SAN CLEMENTE,CA,92673,334310,Corporation,151,4/5/2020,City National Bank
DANIEL C SALAS HARVESTING INC,9788 7TH AVE,HANFORD,CA,93230,561311,Corporation,500,5/3/2020,"Bank of America, National Association"
"DANIEL'S TIRE SERVICE, INC.",11850 SLAUSON AVE,SANTA FE SPRINGS,CA,90670,423130,Corporation,199,4/7/2020,City National Bank
"DANSK ENTERPRISES, INC.",3001 RED HILL AVE BLDG. #6-105,COSTA MESA,CA,92626,561612,Subchapter S Corporation,285,4/12/2020,Pacific Premier Bank
"DAOU VINEYARDS, LLC",2777 HIDDEN MOUNTAIN RD,PASO ROBLES,CA,93446,115112,Limited  Liability Company(LLC),160,4/8/2020,Umpqua Bank
"DARBUN ENTERPRISES, INC",6710 EL,RCHO SANTA FE,CA,92067,623110,Subchapter S Corporation,308,5/1/2020,"U.S. Bank, National Association"
DATAGUISE INC,39650 LIBERTY STREET SUITE 400,FREMONT,CA,94538,519190,Corporation,0,5/5/2020,"Wells Fargo Bank, National Association"
"DATRIUM, INC","385 MOFFETT PARK DRIVE, STE 205",SUNNYVALE,CA,94089,334112,Corporation,50,4/27/2020,"Grasshopper Bank, National Association"
"DAVID AND MARGARET HOME, INC.",1350 3RD ST,LA VERNE,CA,91750,624190,Non-Profit Organization,170,4/28/2020,Citizens Business Bank
"DAVIS REED CONSTRUCTION, INC.","12250 El Camino Real, Suite 240, San Diego, CA 92130-2005 0.0",SAN DIEGO,CA,92130,236220,Subchapter S Corporation,135,4/8/2020,"JPMorgan Chase Bank, National Association"
"DAVISELEN ADVERTISING, INC.",865 S FIGUEROA ST,LOS ANGELES,CA,90017,541810,Corporation,256,4/10/2020,American Business Bank
"DAWSON ELECTRIC, INC.",3775 Pacheco Blvd,MARTINEZ,CA,94553,238210,Corporation,,4/8/2020,Farmers & Merchants Bank of Central California
"DAYBREAK GAME COMPANY, LLC",15051 Avenue of Science,SAN DIEGO,CA,92128,511210,Limited  Liability Company(LLC),178,4/8/2020,CIBC Bank USA
"DAYLIGHT FOODS, INC.",30200 Whipple RD,UNION CITY,CA,94587,722310,Subchapter S Corporation,176,4/12/2020,Comerica Bank
"DCX-CHOL ENTERPRISES, INC.",12831 S FIGUEROA ST,LOS ANGELES,CA,90061,335931,Subchapter S Corporation,460,4/15/2020,City National Bank
"DE ANZA TILE CO., INC.",45755 Northport Loop W,FREMONT,CA,94538,238340,Employee Stock Ownership Plan(ESOP),144,4/13/2020,First Republic Bank
DE LA SALLE HIGH SCHOOL OF CONCORD INC,1130 Winton Dr,CONCORD,CA,94518,611110,Non-Profit Organization,219,4/9/2020,"CRF Small Business Loan Company, LLC"
DECKER FORD INC,920 W SHAW AVE,CLOVIS,CA,93612,441110,Corporation,270,4/15/2020,"Bank of America, National Association"
DECRON PROPERTIES CORP,6222 Wilshire Blvd Suite 400,LOS ANGELES,CA,90048,531390,Corporation,302,4/27/2020,"Citibank, N.A."
DEGENKOLB ENGINEERS,375 Beale St # 500,SAN FRANCISCO,CA,94105,541330,Corporation,204,4/27/2020,"MUFG Union Bank, National Association"
"DEJA, LLC",655 N CENTRAL AVE #17FL,GLENDALE,CA,91203,561320,Limited  Liability Company(LLC),306,4/30/2020,Sunwest Bank
DEL AMO CONSTRUCTION INC.,23840 MADISON ST,TORRANCE,CA,90505,236210,Subchapter S Corporation,102,4/8/2020,American Business Bank
DEL MAR FOOD PRODUCTS CORPORATION,1720 WEST BEACH ROAD,WATSONVILLE,CA,95076,311421,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
DEL MAR THOROUGHBRED CLUB,2260 Jimmy Durante Blvd,DEL MAR,CA,92014,711219,Corporation,322,5/3/2020,"Bank of America, National Association"
"DEL MONTE ELECTRIC CO., INC.",6998 Sierra Court,DUBLIN,CA,94568,238210,Subchapter S Corporation,83,4/7/2020,Fremont Bank
"DEL ORO CONSULTING, INC.",1999 S BASCOM AVE STE 700,CAMPBELL,CA,95008,541618,Corporation,119,4/30/2020,"Bank of America, National Association"
"DEL SOL HARVESTING, INC.",134 VIENTOS RD,CAMARILLO,CA,93010,111339,Corporation,350,4/15/2020,City National Bank
DELPHI PRODUCTIONS INC,950 W Tower Avenue,ALAMEDA,CA,94501,339999,Corporation,192,4/10/2020,1st Source Bank
DELTA COMPUTER CONSULTING,25550 HAWTHORNE BLVD STE 106,TORRANCE,CA,90505,541512,Corporation,174,5/3/2020,"Bank of America, National Association"
"DELTA TECH SERVICE, INC",397 W. Channel Road,BENICIA,CA,94510,811310,Corporation,111,4/15/2020,"Zions Bank, A Division of"
"DELUXE AUTO CARRIERS, INC.",4788 Brookhollow Circle 0.0,JURUPA VALLEY,CA,92509,488490,Subchapter S Corporation,189,4/9/2020,"JPMorgan Chase Bank, National Association"
"DENCO ENTERPRISES, INC.",15051 LEFFINGWELL RD,WHITTIER,CA,90604,722513,Corporation,456,4/10/2020,Arvest Bank
"DENKEN SOLUTIONS, INC.",9170 IRVINE CENTER DR #200,IRVINE,CA,92618,561499,Subchapter S Corporation,224,4/13/2020,Sunwest Bank
DES ARCHITECTS + ENGINEERS INC,399 BRADFORD ST,REDWOOD CITY,CA,94063,541310,Corporation,,4/27/2020,Technology CU
DESCO INDUSTRIES INCORPORATED,3651 WALNUT AVE,CHINO,CA,91710,335999,Partnership,,5/3/2020,"Wells Fargo Bank, National Association"
DESERT AIDS PROJECT,1695 N SUNRISE WAY,PALM SPRINGS,CA,92262,813319,Professional Association,0,4/30/2020,BBVA USA
"DESERT JACK, LLC",15401 Anacapa Road,"VICTORVILLE, CA 92392",CA,92392,722513,Limited  Liability Company(LLC),0,4/27/2020,Signature Bank
"DESERT SANDS PUBLIC CHARTER, INC",177 HOLSTON DR,LANCASTER,CA,93535,813990,Non-Profit Organization,139,5/8/2020,Hanmi Bank
DEVIL MOUNTAIN WHOLESALE NURSERY INC.,9885 Alcosta Blvd,SAN RAMON,CA,94583,425120,Subchapter S Corporation,198,4/14/2020,First Republic Bank
DEVINCENZI CONCRETE CONSTRUCTION,3276 DUTTON AVE,SANTA ROSA,CA,95407,238110,Corporation,93,4/28/2020,Exchange Bank
DFS FLOORING LP,15651 Saticoy St,VAN NUYS,CA,91406,238330,Partnership,175,4/10/2020,East West Bank
"DFT, INC.",6349 RIVERSIDE AVE 2nd Floor,RIVERSIDE,CA,92506,531390,Corporation,377,4/11/2020,Radius Bank
"DG ARCHITECTS, INC.",550 Ellis St.,MOUNTAIN VIEW,CA,94043,541310,Corporation,135,4/10/2020,Western Alliance Bank
DGN TECHNOLOGIES INC.,46500 Fremont Blvd Ste 708,FREMONT,CA,94538,541511,Subchapter S Corporation,181,5/1/2020,"JPMorgan Chase Bank, National Association"
"DHS CONSULTING, LLC",1820 E First Street,SANTA ANA,CA,92705,236220,Limited  Liability Company(LLC),124,4/13/2020,Valley National Bank
DI OVERNITE INVESTMENTS,14043 Stage Road,SANTA FE SPRINGS,CA,90670,492110,Limited  Liability Company(LLC),500,4/11/2020,"Zions Bank, A Division of"
"DIABLO VALLEY ONCOLOGY & HEMATOLOGY MEDICAL GROUP, INC.",400 Taylor Blvd Ste 202,PLEASANT HILL,CA,94523,621111,Corporation,156,4/13/2020,First Republic Bank
DIAGNOSTICOS OCULARES PUERTO RICO,2800 Bayview Drive,FREMONT,CA,94538,339112,Sole Proprietorship,131,4/14/2020,Silicon Valley Bank
"DIAMANTI, INC.",111 N Market St,SAN JOSE,CA,95113,334118,Corporation,83,5/3/2020,"Newtek Small Business Finance, Inc."
"DIAMOND MATTRESS COMPANY, INC.",3112 East Las Hermanas St,COMPTON,CA,90221,423210,Corporation,177,4/6/2020,City National Bank
"DIANA'S MEXICAN FOOD PRODUCTS, INC",16330 S. Pioneer Blvd.,NORWALK,CA,90650,311991,Subchapter S Corporation,250,4/27/2020,First Choice Bank
"DIBUDUDUO & DEFENDIS INSURANCE BROKERS, LLC",6873 N WEST AVENUE,FRESNO,CA,93711,524210,Limited  Liability Company(LLC),182,4/11/2020,Premier Valley Bank
"DICK JAMES & ASSOCIATES, INC.",2260 PARK TOWNE CIR Suite 204,SACRAMENTO,CA,95825,531110,Subchapter S Corporation,,4/14/2020,American River Bank
"DIGITAL DOMAIN 3.0, INC.",12641 BEATRICE ST,LOS ANGELES,CA,90066,512110,Corporation,217,4/7/2020,East West Bank
"DIGITAL MEDIA MANAGEMENT, INC.",5670 WILSHIRE BLVD.,LOS ANGELES,CA,90036,541613,Corporation,0,4/27/2020,Signature Bank
"DIGNIFIED HOME LOANS, LLC",1 BAXTER WAY,WESTLAKE VILLAGE,CA,91362,522310,Limited  Liability Company(LLC),155,4/27/2020,"Flagstar Bank, FSB"
DIOCESE OF SAN BERNARDION EDUCATION AND WELFARE COPR,1201 HIGHLAND AVE,SAN BERNARDINO,CA,92404,813110,Non-Profit Organization,499,4/28/2020,Notre Dame FCU
