zip,businessname,address,city,state,naicscode,businesstype,jobsretained,dateapproved,lender
94104,"MAZZETTI, INC.","220 Montgomery Street, Suite 650",SAN FRANCISCO,CA,541330.0,Corporation,187.0,4/15/2020,"Zions Bank, A Division of"
94501,"MBH ARCHITECTS, INC., A CALIFORNIA CORPORATION",960 ATLANTIC AVE,ALAMEDA,CA,541310.0,Corporation,173.0,4/30/2020,Bank of San Francisco
90266,MBS ASSET MANAGEMENT,1600 Rosencranz Avenue,MANHATTAN BEACH,CA,532490.0,Limited  Liability Company(LLC),325.0,4/12/2020,First Republic Bank
92058,MC PAINTING,504 JONES RD,OCEANSIDE,CA,238320.0,Corporation,248.0,4/13/2020,Bank of the West
92020,"MCALISTER INSTITUTE FOR TREATMENT & EDUCATION, INC.",1400 N JOHNSON AVE STE 101,EL CAJON,CA,621420.0,Non-Profit Organization,390.0,4/6/2020,City National Bank
93720,"MCCORMICK, BARSTOW, SHEPPARD, WAYTE & CARRUTH, LLP",7647 NORTH FRESNO ST,FRESNO,CA,541110.0,Partnership,233.0,4/15/2020,Fresno First Bank
95403,MCF4 SOLUTIONS LLC,414 AVIATION BLVD,SANTA ROSA,CA,115115.0,Limited  Liability Company(LLC),388.0,4/15/2020,Exchange Bank
94551,MCH ELECTRIC INC.,7693 Longard Road,LIVERMORE,CA,238210.0,Corporation,195.0,4/8/2020,Fremont Bank
90504,MCKENNA MOTORS TORRANCE INC,18800 HAWTHORNE BLVD,TORRANCE,CA,441110.0,Corporation,205.0,4/5/2020,First Hawaiian Bank
91773,MCKINLEY CHILDREN'S CENTER,180 E VIA VERDE SUITE 200,SAN DIMAS,CA,624190.0,Non-Profit Organization,0.0,4/15/2020,Banner Bank
92821,"MCKINNEY VEHICLE SERVICES, INC.",2601 Saturn ST # 110,BREA,CA,532120.0,Corporation,132.0,4/12/2020,Farmers & Merchants Bank of Long Beach
91911,"MCMAHON STEEL COMPANY, INC.",1880 NIRVANA AVE,CHULA VISTA,CA,238120.0,Corporation,208.0,4/4/2020,CalPrivate Bank
94124,"MCMILLAN DATA COMMUNICATIONS, INC.",1950 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,238210.0,Corporation,110.0,5/3/2020,"MUFG Union Bank, National Association"
92606,MCNIB CORPORATION,16811 HALE AVE Suite B,IRVINE,CA,722513.0,Subchapter S Corporation,44.0,4/5/2020,City National Bank
92879,MCP SERVICES LLC,708 S TEMESCAL ST,CORONA,CA,327120.0,Corporation,500.0,4/27/2020,"Bank of America, National Association"
92879,"MCP SERVICES, LLC",708 S Temescal St,CORONA,CA,561110.0,Limited  Liability Company(LLC),42.0,5/3/2020,Celtic Bank Corporation
91356,"MCRORY PEDIATRIC SERVICES, INC.",19019 VENTURA BLVD,TARZANA,CA,621340.0,Corporation,298.0,4/15/2020,"MUFG Union Bank, National Association"
92626,"MDM SOLUTIONS, LLC",555 Anton Blvd,COSTA MESA,CA,237210.0,Limited  Liability Company(LLC),136.0,4/28/2020,"U.S. Bank, National Association"
92618,"MDXHEALTH, INC.","15279 Alton Parkway,100",IRVINE,CA,621399.0,Sole Proprietorship,166.0,6/30/2020,Customers Bank
93704,ME-N-ED'S PIZZERIAS INC,6729 PALM AVE SUITE 200,FRESNO,CA,722511.0,Corporation,,4/14/2020,BBVA USA
92606,"MEDATA, INC.",5 PETERS CANYON RD,IRVINE,CA,511210.0,Subchapter S Corporation,284.0,4/15/2020,City National Bank
94590,"MEDIC AMBULANCE SERVICE, INC.",506 COUCH ST,VALLEJO,CA,621910.0,Corporation,269.0,4/13/2020,Bank of the West
92123,MEDICAL PROFESSIONALS,9350 WAXIE WAY STE 100,SAN DIEGO,CA,561320.0,Corporation,326.0,4/30/2020,Bank of the West
92270,MEDICAL REFERRAL NETWORK INTERNATIONAL,72877 Dinah Shore Drive Suite 103 #232,RANCHO MIRAGE,CA,561320.0,Corporation,163.0,4/27/2020,Pacific Premier Bank
94104,"MEDRIO, INC.",345 California Street Suite 325,SAN FRANCISCO,CA,541511.0,Corporation,102.0,4/27/2020,Comerica Bank
93930,MEE MEMORIAL HOSPITAL,300 CANAL ST,KING CITY,CA,622110.0,Non-Profit Organization,359.0,4/15/2020,Mechanics Bank
94105,MEHFIL INDIAN CUISINE,88 2ND ST MEHFIL INDAIN CUISINE,SAN FRANCISCO,CA,722511.0,Corporation,0.0,5/6/2020,"Wells Fargo Bank, National Association"
93012,"MEISSNER FILTRATION PRODUCTS, INC.",1001 FLYNN RD,CAMARILLO,CA,334416.0,Corporation,273.0,4/28/2020,City National Bank
94107,MEKANISM INC,640 2nd St Fl 3,SAN FRANCISCO,CA,541810.0,Corporation,162.0,5/3/2020,"Bank of America, National Association"
95119,MELGAR FACILITY MAINTENANCE LLC,6980 Santa Teresa Blvd #150,SAN JOSE,CA,561210.0,Limited  Liability Company(LLC),0.0,4/6/2020,Live Oak Banking Company
92688,MELISSA DATA CORPORATION,22382 AVENIDA EMPRESA,RANCHO SANTA MARGARITA,CA,518210.0,Subchapter S Corporation,189.0,4/28/2020,First-Citizens Bank & Trust Company
90014,MELLANO ENTERPRISES INC,766 WALL ST,LOS ANGELES,CA,926140.0,Corporation,313.0,4/5/2020,"Bank of Southern California, National Association"
90503,"MENEMSHA DEVELOPMENT GROUP, INC",20521 EARL ST,TORRANCE,CA,236220.0,Subchapter S Corporation,102.0,4/6/2020,American Business Bank
94027,MENLO COLLEGE,1000 El Camino Real,ATHERTON,CA,611310.0,Non-Profit Organization,185.0,4/14/2020,Boston Private Bank & Trust Company
90802,MENTAL HEALTH AMERICA OF LOS ANGELES,200 PINE AVE STE 400,LONG BEACH,CA,621420.0,Non-Profit Organization,,4/12/2020,Farmers & Merchants Bank of Long Beach
95341,"MERCED FACULTY ASSOCIATES MEDICAL GROUP, INC.",1763 GROGAN AVE,MERCED,CA,621112.0,Corporation,181.0,4/14/2020,Central Valley Community Bank
92805,"MERCURY PAPER, INC.",100 S. ANAHEIM BLVD,ANAHEIM,CA,322291.0,Corporation,241.0,4/10/2020,East West Bank
90280,"MERIBEAR PRODUCTIONS, INC.",4100 ARDMORE AVE,SOUTH GATE,CA,541410.0,Corporation,216.0,4/30/2020,Citizens Business Bank
95652,MERILIZ INC,2031 Dome Lane,MCCLELLAN,CA,323111.0,Corporation,151.0,4/11/2020,TCF National Bank
92880,"MERIT ALUMINUM, INC.",2480 RAILROAD ST,CORONA,CA,331313.0,Corporation,25.0,4/6/2020,City National Bank
92593,"MERIT FRAMING, INC.",42113 Roick Drive Suite 3,TEMECULA,CA,238130.0,Subchapter S Corporation,87.0,4/4/2020,Cache Valley Bank
90045,MERLE NORMAN COSMETICS INC,9130 Bellanca Ave,LOS ANGELES,CA,325620.0,Corporation,244.0,4/15/2020,"Bank of America, National Association"
94104,"MERLONE GEIER MANAGEMENT, LLC",425 California St,SAN FRANCISCO,CA,523920.0,Limited  Liability Company(LLC),126.0,4/15/2020,First Republic Bank
92879,MERRICK ENGINEERING INC,1275 Quarry St,CORONA,CA,326199.0,Corporation,250.0,4/5/2020,City National Bank
93908,MERRILL FARMS LLC,18900 PORTOLA DR,SALINAS,CA,111219.0,Limited  Liability Company(LLC),171.0,4/5/2020,1st Capital Bank
94104,METRIC THEORY LLC,"311 California Street, 2nd Floor",SAN FRANCISCO,CA,541613.0,Limited  Liability Company(LLC),126.0,4/27/2020,Customers Bank
91911,"METROPOLITAN AREA ADVISORY COMMITTEE  ON ANTI POVERTY IN SAN DIEGO COUNTY, INC.",1355  3RD AVE,CHULA VISTA,CA,624190.0,Non-Profit Organization,467.0,4/5/2020,East West Bank
93003,METSON MARINE SERVICES INC,2060 Knoll Drive Ste 100,VENTURA,CA,483112.0,Subchapter S Corporation,211.0,4/9/2020,"Community West Bank, National Association"
90016,"MEUNDIES, INC.",3650 HOLDREGE AVENUE,LOS ANGELES,CA,448110.0,Corporation,162.0,4/14/2020,Pacific Western Bank
92122,MEXICAN STREET FOOD LLC,8899 UNIVERSITY CENTER LN STE 130,SAN DIEGO,CA,722513.0,Limited  Liability Company(LLC),500.0,4/30/2020,"Bank of America, National Association"
94607,"MEYERS NAVE RIBACK SILVER & WILSON, PLC","555 12th St, Suite 1500",OAKLAND,CA,541110.0,Corporation,125.0,4/14/2020,California Bank of Commerce
92504,MFI RECOVERY CENTER,5870 ARLINGTON AVE,RIVERSIDE,CA,623220.0,Corporation,220.0,4/29/2020,First Bank
94133,"MG RESTAURANTS, INC.",99 OSGOOD PL SUITE 300,SAN FRANCISCO,CA,722513.0,Corporation,246.0,4/15/2020,"Newtek Small Business Finance, Inc."
94111,MG-HILA LLC,"244 California Street, Suite 410",SAN FRANCISCO,CA,722511.0,Limited  Liability Company(LLC),,4/15/2020,Bank of Hawaii
95112,MGM DRYWALL INC,1050 COMMERCIAL ST. STE. #102,SAN JOSE,CA,238310.0,Corporation,0.0,5/19/2020,"Wells Fargo Bank, National Association"
90745,"MHX, LLC",22707 S WILMINGTON AVE,CARSON,CA,484110.0,Limited  Liability Company(LLC),211.0,4/27/2020,Fifth Third Bank
93704,MICHAEL CADILLAC INC.,50 W Bullard,FRESNO,CA,441110.0,Corporation,260.0,4/27/2020,"MUFG Union Bank, National Association"
92833,MICHAEL NICHOLAS DESIGNS,2330 Raymer Ave,FULLERTON,CA,339999.0,Subchapter S Corporation,410.0,4/9/2020,First Republic Bank
90245,MICHAEL SULLIVAN & ASSOCIATES LLP,400 CONTINENTAL BLVD Suite 250,EL SEGUNDO,CA,541110.0,Partnership,178.0,4/6/2020,City National Bank
90024,"MICHELMAN & ROBINSON, LLP",10880 WILSHIRE BLVD FL 19,LOS ANGELES,CA,541110.0,Limited Liability Partnership,116.0,4/5/2020,City National Bank
95949,MICRO PRECISION CALIBRATION,22835 INDUSTRIAL PLACE,GRASS VALLEY,CA,811219.0,Corporation,0.0,5/5/2020,"Wells Fargo Bank, National Association"
93630,"MID-VALLEY DISPOSAL, LLC",15300 W Jensen Ave,KERMAN,CA,562212.0,Limited  Liability Company(LLC),215.0,4/28/2020,Bank of the West
95461,MIDDLETOWN RANCHERIA OF POMO INDIANS,22223 STATE HIGHWAY 29,MIDDLETOWN,CA,721120.0,Corporation,272.0,4/28/2020,Umpqua Bank
95620,"MIKE LOWRIE TRUCING, INC",7134 TREMONT RD,DIXON,CA,484110.0,Corporation,170.0,4/10/2020,First Northern Bank of Dixon
94521,"MIKE MCCALL LANDSCAPE, INC.",4749 CLAYTON RD,CONCORD,CA,561730.0,Corporation,185.0,4/10/2020,City National Bank
94520,MIKE ROSE AUTO BODY INC.,2260 VIA DE MERCADOS,CONCORD,CA,811121.0,Corporation,337.0,4/6/2020,City National Bank
93021,"MIKE ROVNER CONSTRUCTION, INC.",5400 TECH CIR,MOORPARK,CA,236118.0,Corporation,304.0,4/11/2020,Bank of the West
90670,MIKE THOMPSON RECREATIONAL VEHICLES,13940 Firestone Blvd,SANTA FE SPRINGS,CA,441210.0,Sole Proprietorship,360.0,5/3/2020,"Bank of America, National Association"
93012,"MIKE'S FARM LABOR, INC.",5716 W GREENTREE DR,SOMIS,CA,115115.0,Subchapter S Corporation,330.0,4/28/2020,Mechanics Bank
92673,"MILLENNIUM REINFORCING, INC.",1046 CALLE RECODO STE 1,SAN CLEMENTE,CA,238990.0,Corporation,200.0,4/4/2020,Pacific Premier Bank
92867,"MILLER ENVIRONMENTAL, INC.",1130 W TRENTON AVE,ORANGE,CA,238910.0,Subchapter S Corporation,72.0,4/5/2020,American Business Bank
91602,MILLER KAPLAN ARASE LLP,4123 LANKERSHIM BLVD,NORTH HOLLYWOOD,CA,541211.0,Limited Liability Partnership,176.0,4/6/2020,City National Bank
90720,"MILLIE AND SEVERSON, INC.",3601 Serpentine Dr,LOS ALAMITOS,CA,238990.0,Corporation,203.0,4/13/2020,"MUFG Union Bank, National Association"
91207,"MILTON GROUP, INC.","601 E Glenoaks Blvd, Suite 108",GLENDALE,CA,722513.0,Subchapter S Corporation,500.0,4/10/2020,"Lake Forest Bank & Trust Company, National Association"
92617,MIND RESEARCH INSTITUTE,5281 CALIFORNIA AVE Suite 300,IRVINE,CA,611710.0,Non-Profit Organization,168.0,4/3/2020,Commercial Bank of California
93433,MINER'S ACE HARDWARE INC,1056 West Grand Ave,GROVER BEACH,CA,444130.0,Subchapter S Corporation,357.0,4/11/2020,Pacific Premier Bank
94063,MINERVA SURGICAL INC,101 Saginaw Driv,REDWOOD CITY,CA,339113.0,Corporation,106.0,4/12/2020,Silicon Valley Bank
92882,MINKA LIGHTING INC,1151 BRADFORD CIR,CORONA,CA,423610.0,Corporation,220.0,5/3/2020,"Bank of America, National Association"
92805,"MIRAGE BUILDERS, INC.",1854 S SANTA CRUZ ST,ANAHEIM,CA,238130.0,Corporation,101.0,4/9/2020,First Foundation Bank
90036,"MIRAMAR OPCO, LLC",101 THE GROVE DR,LOS ANGELES,CA,721110.0,Limited  Liability Company(LLC),290.0,4/15/2020,City National Bank
91343,"MISSION CITY COMMUNITY NETWORK, INC.",8527 Sepulveda Blvd,NORTH HILLS,CA,621999.0,Non-Profit Organization,116.0,4/28/2020,"Citibank, N.A."
94124,MISSION CONSTRUCTORS INC,2235 PALOU AVE,SAN FRANCISCO,CA,236220.0,Subchapter S Corporation,91.0,4/14/2020,Suncrest Bank
94402,"MISSION HOSPICE & HOME CARE, INC","1670 South Amphlett Blvd., Suite 300",SAN MATEO,CA,621610.0,Non-Profit Organization,115.0,4/29/2020,"Zions Bank, A Division of"
92677,MISSION IMPORTS,1 Star Dr,LAGUNA NIGUEL,CA,423110.0,Subchapter S Corporation,276.0,4/11/2020,First Republic Bank
92606,MISSION LANDSCAPE COMPANIES,16672 MILLIKAN AVE,IRVINE,CA,541320.0,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
94110,MISSION NEIGHBORHOOD CENTERS INC.,362 Capp St,SAN FRANCISCO,CA,813319.0,Non-Profit Organization,230.0,4/27/2020,First Republic Bank
92223,MISSION VISTA ACADEMY,1440 Beaumont Ave Ste A2 #412,BEAUMONT,CA,611110.0,Non-Profit Organization,184.0,6/23/2020,"Harvest Small Business Finance, LLC"
90230,MIVIP HEALTHCARE HOLDINGS LLC,"6023 Bristol Parkway, Suite 100",CULVER CITY,CA,551112.0,Limited  Liability Company(LLC),203.0,4/28/2020,"MUFG Union Bank, National Association"
93308,MMI SERVICES INC.,4042 PATTON WAY,BAKERSFIELD,CA,213111.0,Corporation,122.0,4/14/2020,Mechanics Bank
90036,"MOB SCENE, LLC","5750 WILSHIRE BLVD, STE 530",LOS ANGELES,CA,512110.0,Limited  Liability Company(LLC),121.0,4/7/2020,East West Bank
94608,MOBITV INC,1900 Powell Street Suite 900,EMERYVILLE,CA,518210.0,Corporation,127.0,4/13/2020,Silicon Valley Bank
91331,"MOC PRODUCTS COMPANY, INC.",12306 Montague Street,PACOIMA,CA,325998.0,Subchapter S Corporation,171.0,4/30/2020,Bank of the West
90064,"MOCEAN, LLC",2440 S Sepulveda Blvd Ste 150,LOS ANGELES,CA,512191.0,Limited  Liability Company(LLC),166.0,4/15/2020,First Republic Bank
90015,"MODCLOTH HOLDINGS, LLC",315 WEST 9TH ST,LOS ANGELES,CA,448120.0,Limited  Liability Company(LLC),176.0,4/14/2020,Sunwest Bank
94103,"MODE ANALYTICS, INC.",208 Utah St Ste 400,SAN FRANCISCO,CA,511210.0,Corporation,130.0,4/14/2020,First Republic Bank
90017,"MODERN PARKING, INC.",303 S UNION AVE,LOS ANGELES,CA,812930.0,Corporation,431.0,4/8/2020,US Metro Bank
92110,"MODERN TIMES DRINKS, INC.",3725 Greenwood St,SAN DIEGO,CA,312120.0,Corporation,0.0,4/5/2020,Live Oak Banking Company
95350,"MODESTO INDUSTRIAL ELECTRICAL CO., INC.",1417 Coldwell Ave,MODESTO,CA,238210.0,Corporation,200.0,4/13/2020,"MUFG Union Bank, National Association"
95818,"MODSQUAD, INC.",2018 19TH ST,SACRAMENTO,CA,541611.0,Corporation,249.0,4/15/2020,City National Bank
94404,"MONDEE, INC.",951 Mariners Island Blvd. Ste 130 0.0,SAN MATEO,CA,561510.0,Corporation,222.0,4/11/2020,"JPMorgan Chase Bank, National Association"
95367,"MONSCHEIN INDUSTRIES, INC.",6344 Roselle A,RIVERBANK,CA,321999.0,Corporation,246.0,4/13/2020,Oak Valley Community Bank
90058,"MONTAGE FULFILLMENT, LLC",2608 E  37TH ST,VERNON,CA,493110.0,Limited  Liability Company(LLC),434.0,4/14/2020,Sunwest Bank
94621,MONTEREY MECHANICAL CO.,8275 SAN LEANDRO ST,OAKLAND,CA,238220.0,Corporation,84.0,4/27/2020,California Bank of Commerce
93940,MONTEREY PENINSULA SURGERY CENTER LLC,966 CASS ST SUITE 150,MONTEREY,CA,621493.0,Limited  Liability Company(LLC),184.0,4/12/2020,1st Capital Bank
94025,MONTEREY PLAZA HOTEL LIMITED PARTNERSHIP,1100 Alma St Ste 106,MENLO PARK,CA,721110.0,Limited Liability Partnership,375.0,4/13/2020,First Republic Bank
93654,MOONLIGHT PACKING COMPANY LLC,17719 East Huntsman Avenue,REEDLEY,CA,111339.0,Limited  Liability Company(LLC),,6/16/2020,"Fundbox, Inc."
92801,"MOONSTONE PEO, INC.",760 N Euclid St Ste 212,ANAHEIM,CA,999990.0,Corporation,465.0,5/3/2020,"Bank of America, National Association"
94710,MOORE IACOFANO GOLTSMAN INCORP,800 HEARST AVE,BERKELEY,CA,541310.0,Corporation,254.0,4/15/2020,First Bank
92705,"MOOREFIELD CONSTRUCTION, INC.",600 North TUSTIN AVE 210,SANTA ANA,CA,236220.0,Corporation,90.0,4/8/2020,American Business Bank
95966,MOORETOWN RANCHERIA,3 Alverda Drive,OROVILLE,CA,713210.0,Corporation,,6/26/2020,River City Bank
95215,"MORADA PRODUCE COMPANY, LP",500 N JACK TONE RD,STOCKTON,CA,115114.0,Partnership,,4/7/2020,Farmers & Merchants Bank of Central California
94544,MOREAU CATHOLIC HIGH SCHOOL,27170 MISSION BLVD,HAYWARD,CA,611110.0,Non-Profit Organization,119.0,4/27/2020,Fremont Bank
90245,MORRISON EXPRESS CORPORATION (U.S.A.),2000 S HUGHES WAY,EL SEGUNDO,CA,488510.0,Corporation,183.0,4/16/2020,"HSBC Bank USA, National Association"
93535,"MORTON GRINDING, INC.",201 E. AVENUE K15,LANCASTER,CA,332722.0,Subchapter S Corporation,224.0,4/29/2020,Citizens Business Bank
91403,"MOSS MANAGEMENT SERVICES, INC.",15300 Ventura Blvd. #405,SHERMAN OAKS,CA,531312.0,Corporation,360.0,4/6/2020,City National Bank
94104,MOSSER COMPANIES INC.,220 Montgomery St Ste 2000,SAN FRANCISCO,CA,531110.0,Subchapter S Corporation,366.0,4/13/2020,First Republic Bank
90670,"MOTHER&#39;S NUTRITIONAL CENTER, INC.",13635 Freeway Drive,SANTA FE SPRINGS,CA,445110.0,Subchapter S Corporation,490.0,4/27/2020,"Harvest Small Business Finance, LLC"
91950,MOTIVATIONAL SYSTEMS INC,2200 CLEVELAND AVE,NATIONAL CITY,CA,541430.0,Corporation,192.0,5/3/2020,"U.S. Bank, National Association"
92879,"MOTIVE ENERGY TELECOMMUNICATIONS GROUP, INC.",755 TRADEMARK CIRCLE,CORONA,CA,237310.0,Corporation,250.0,4/14/2020,Fifth Third Bank
93313,MOTOR CITY SALES & SERVICE,3101 PACHECO RD,BAKERSFIELD,CA,441110.0,Corporation,,4/11/2020,Ally Bank
92354,MOUNTAIN VIEW CHILD CARE INC,1720 Mountain View Ave,LOMA LINDA,CA,623110.0,Corporation,330.0,4/27/2020,Popular Bank
91730,"MOUNTAIN VIEW TIRE & SERVICE, INC.",8548 UTICA AVE,RANCHO CUCAMONGA,CA,441310.0,Corporation,248.0,4/15/2020,Citizens Business Bank
92374,"MOUNTAIN WEST FINANCIAL, INC",1209 NEVADA ST,REDLANDS,CA,522292.0,Corporation,278.0,4/14/2020,Western Alliance Bank
93401,"MOVEMENT FOR LIFE, INC.",1106 WALNUT ST,SAN LUIS OBISPO,CA,561110.0,Corporation,303.0,4/15/2020,Pacific Western Bank
94612,MOVEMENT STRATEGY CENTER,436 14TH ST,OAKLAND,CA,621610.0,Corporation,136.0,4/7/2020,First Northern Bank of Dixon
91789,MOXIE MANAGEMENT GROUP LLC,340 S Lemon St,WALNUT,CA,812112.0,Limited  Liability Company(LLC),3.0,4/8/2020,"Zions Bank, A Division of"
94066,"MOXIE SOFTWARE, INC.","851 Traeger Avenue, Suite 210",SAN BRUNO,CA,541512.0,Corporation,20.0,4/28/2020,City National Bank
95361,"MOZINGO CONSTRUCTION, INC.",751 WAKEFIELD CT,OAKDALE,CA,237990.0,Subchapter S Corporation,71.0,4/5/2020,Oak Valley Community Bank
93308,"MP ENVIRONMENTAL SERVICES, INC.",3400 Manor Street 0.0,BAKERSFIELD,CA,484230.0,Subchapter S Corporation,226.0,4/8/2020,"JPMorgan Chase Bank, National Association"
92868,MR CRANE INC,647 N. HARITON ST,ORANGE,CA,238990.0,Corporation,,4/11/2020,Pacific Western Bank
94598,"MUIR ORTHOPAEDIC SPECIALISTS, A MEDICAL GROUP, INC.",2625 Shadelands Dr,WALNUT CREEK,CA,621399.0,Subchapter S Corporation,0.0,4/15/2020,Live Oak Banking Company
90039,"MUIR-CHASE PLUMBING CO., INC",4530 BRAZIL ST,LOS ANGELES,CA,238220.0,Subchapter S Corporation,193.0,4/15/2020,Citizens Business Bank
90049,"MULHOLLAND SECURITY & PATROL, INC",11454 SAN VICENTE BLVD,LOS ANGELES,CA,561612.0,Corporation,,4/10/2020,East West Bank
95815,"MULLEN & FILLIPPI, LLP",1435 RIVER PARK DRIVE SUITE 300,SACRAMENTO,CA,541110.0,Partnership,,4/15/2020,American River Bank
92590,"MURRIETA DEVELOPMENT COMPANY, INC.",42540 Rio Nedo,TEMECULA,CA,238910.0,Corporation,,4/11/2020,Pacific Western Bank
95377,"MUSCO OLIVE PRODUCTS, INC.",17950 Via Nicolo,TRACY,CA,311421.0,Subchapter S Corporation,268.0,4/30/2020,Bank of the West
90028,MUSICIANS INSTITUTE INCORPORATED,6752 HOLLYWOOD BLVD,LOS ANGELES,CA,611699.0,Corporation,293.0,4/28/2020,Citizens Business Bank
90017,"MUSICK, PEELER & GARRETT LLP",624 South Grand Ave Ste 2000,LOS ANGELES,CA,541110.0,Limited Liability Partnership,113.0,4/16/2020,"U.S. Bank, National Association"
92614,"MVE + PARTNERS, INC.",1900 MAIN ST Suite 800,IRVINE,CA,541310.0,Corporation,73.0,4/7/2020,City National Bank
95834,MYERS & SONS CONSTRUCTION LP,"4600 Northgate Blvd., Suite 100",SACRAMENTO,CA,237310.0,Limited Liability Partnership,192.0,4/30/2020,"Bank of America, National Association"
92026,"MYERS AUTOMOTIVE GROUP, INC.",231 Lincoln Parkway,ESCONDIDO,CA,441110.0,Subchapter S Corporation,294.0,4/15/2020,"U.S. Bank, National Association"
92606,"N2 IMAGING SYSTEMS, LLC",14440 Myford Rd,IRVINE,CA,541330.0,Limited  Liability Company(LLC),111.0,5/1/2020,"JPMorgan Chase Bank, National Association"
94558,"NAPA RECYCLING & WASTE SERVICES, LLC",3216 Vichy Ave,NAPA,CA,562111.0,Limited  Liability Company(LLC),140.0,4/27/2020,"MUFG Union Bank, National Association"
94530,NATION'S FOODSERVICE INC,11090 SAN PABLO AVE STE 200,EL CERRITO,CA,722513.0,Corporation,379.0,4/11/2020,"Bank of America, National Association"
92660,"NATIONAL BLENDING COMPANY, LLC","1301 Dove Street, Ste 940",NEWPORT BEACH,CA,423930.0,Limited  Liability Company(LLC),0.0,4/5/2020,"UMB Bank, National Association"
91730,NATIONAL COMMUNITY RENAISSANCE,9421 HAVEN AVE,RANCHO CUCAMONGA,CA,531312.0,Corporation,361.0,4/15/2020,Citizens Business Bank
95134,NATIONAL HOME HEALTH STAFFING INC,2880 Zanker Road 106,SAN JOSE,CA,621610.0,Corporation,320.0,5/1/2020,"JPMorgan Chase Bank, National Association"
90808,"NATIONAL RENAL CARE, LLC",4000 COVER ST Ste. 100,LONG BEACH,CA,621492.0,Limited  Liability Company(LLC),191.0,4/5/2020,City National Bank
92707,"NATIONS DIRECT MORTGAGE, LLC",5 Hutton Centre Drive,SANTA ANA,CA,522291.0,Limited  Liability Company(LLC),174.0,4/27/2020,"Texas Capital Bank, National Association"
91321,"NATIONWIDE SHOTCRETE, INC.",23638 LYONS AVE #273,NEWHALL,CA,238990.0,Corporation,85.0,4/14/2020,Pacific Premier Bank
94502,"NATIVE AMERICAN HEALTH CENTER, INC.","1151 Harbor Bay Parkway, Suite 201",ALAMEDA,CA,621498.0,Non-Profit Organization,250.0,6/9/2020,Self-Help FCU
90245,"NATIVO, INC.",100 PACIFIC COAST HWY FL 10,EL SEGUNDO,CA,541810.0,Corporation,40.0,4/15/2020,Western Alliance Bank
94306,"NAUTO, INC",220 Portage Ave,PALO ALTO,CA,541519.0,Corporation,114.0,4/15/2020,Silicon Valley Bank
93927,NAZARIO T DOMINGUEZ DBA DOMINGUEZ FARMS,818 OAK AVE,GREENFIELD,CA,111998.0,Sole Proprietorship,250.0,5/1/2020,"JPMorgan Chase Bank, National Association"
91205,NEIGHBORHOOD LEGAL SERVICES OF LOS ANGELES COUNTY,1102 E Chevy Chase Dr,GLENDALE,CA,813219.0,Corporation,139.0,4/8/2020,East West Bank
95403,"NEILMED PHARMACEUTICALS, INC.",601 Aviation Blvd.,SANTA ROSA,CA,339113.0,Subchapter S Corporation,243.0,4/28/2020,Comerica Bank
92705,NEKTER JUICE BAR INC.,1844 Carnegie Ave,SANTA ANA,CA,722515.0,Corporation,500.0,4/27/2020,Cathay Bank
90039,NELSON NAME PLATE COMPANY,2800 Casitas Avenue,LOS ANGELES,CA,332999.0,Corporation,0.0,4/5/2020,"UMB Bank, National Association"
94920,"NES ADMINISTRATIVE SERIVCES, INC.",39 MAIN STREET,TIBURON,CA,541990.0,Subchapter S Corporation,106.0,4/10/2020,East West Bank
95008,"NETPOLARITY, INC.",900 E CAMPBELL AVE 0,CAMPBELL,CA,561311.0,Subchapter S Corporation,150.0,4/27/2020,"Citibank, N.A."
95131,"NETRONIX INTEGRATION, INC.",2170 PARAGON DR,SAN JOSE,CA,236220.0,Subchapter S Corporation,203.0,4/7/2020,Western Alliance Bank
90064,NEURAL ANALYTICS,2440 S. Sepulveda Blvd,LOS ANGELES,CA,541713.0,Corporation,80.0,4/27/2020,WebBank
94043,NEUROPACE INC,455 N. Bernardo Avenue,MOUNTAIN VIEW,CA,334510.0,Corporation,167.0,4/15/2020,Silicon Valley Bank
95112,NEW AGE ELECTRIC INC,1085 N 11th St,SAN JOSE,CA,238210.0,Subchapter S Corporation,130.0,4/30/2020,Bank of the West
92127,"NEW BI US, LLC",17075 CAMINO SAN BERNARDO 1st Floor,SAN DIEGO,CA,541511.0,Limited  Liability Company(LLC),74.0,4/9/2020,City National Bank
91801,"NEW CENTURY ALHAMBRA AUTOMOBILES, LLC",1139 W Main Street,ALHAMBRA,CA,441110.0,Limited  Liability Company(LLC),160.0,4/7/2020,East West Bank
91343,NEW HORIZONS-SERVING INDIVIDUALS WITH S,15725 PARTHENIA STREET,NORTH HILLS,CA,611420.0,Non-Profit Organization,,5/3/2020,"Wells Fargo Bank, National Association"
94558,"NEW PINA VINEYARD MANAGEMENT, LLC",7960 Silverado Trail,NAPA,CA,115112.0,Limited  Liability Company(LLC),198.0,4/7/2020,Bank of Stockton
90404,NEW ROADS SCHOOL,3131 Olympic Blvd,SANTA MONICA,CA,611110.0,Non-Profit Organization,161.0,4/14/2020,Umpqua Bank
90670,NEW TANGRAM LLC,9200 SORENSEN AVE,SANTA FE SPRINGS,CA,423210.0,Limited  Liability Company(LLC),300.0,4/5/2020,City National Bank
